Age,Working class,Education,Marital status,Occupation,Relationship,Race,Sex,Hours per week,Country,Salary
23, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,30, United-States, <=50K
25, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,35, United-States, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,40, United-States, <=50K
19, Private, HS-grad, Married-AF-spouse, Adm-clerical, Wife, White, Female,25, United-States, <=50K
24, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,50, United-States, <=50K
25, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,35, United-States, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, White, Female,22, United-States, <=50K
18, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,30, United-States, <=50K
24, Private, Bachelors, Never-married, Sales, Other-relative, White, Male,40, United-States, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,41, United-States, <=50K
24, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,40, United-States, <=50K
21, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,35, United-States, <=50K
23, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,40, United-States, <=50K
25, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,40, United-States, <=50K
18, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,16, United-States, <=50K
21, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,40, United-States, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,12, United-States, <=50K
24, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, White, Male,40, United-States, <=50K
18, Private, 11th, Never-married, Sales, Own-child, White, Female,40, United-States, <=50K
25, Private, 10th, Never-married, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
18, Private, HS-grad, Never-married, Sales, Own-child, White, Female,40, United-States, <=50K
23, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,40, United-States, <=50K
20, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,40, United-States, <=50K
21, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,40, United-States, <=50K
25, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,40, United-States, <=50K
24, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,40, United-States, <=50K
22, Private, HS-grad, Married-spouse-absent, Sales, Not-in-family, White, Male,55, United-States, <=50K
23, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,25, United-States, <=50K
19, Private, HS-grad, Never-married, Other-service, Other-relative, White, Female,40, United-States, <=50K
20, ?, HS-grad, Never-married, ?, Other-relative, White, Female,35, United-States, <=50K
25, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,55, United-States, >50K
24, Private, HS-grad, Never-married, Handlers-cleaners, Unmarried, Black, Female,40, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,60, United-States, <=50K
24, Federal-gov, HS-grad, Never-married, Armed-Forces, Own-child, White, Male,40, United-States, <=50K
20, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, <=50K
19, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, Black, Female,40, United-States, <=50K
23, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,60, United-States, <=50K
24, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Female,20, United-States, <=50K
23, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,35, United-States, <=50K
25, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,40, United-States, <=50K
24, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Male,40, United-States, <=50K
21, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,36, United-States, <=50K
24, Private, HS-grad, Never-married, Handlers-cleaners, Unmarried, Black, Female,40, United-States, <=50K
20, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,48, United-States, <=50K
24, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,40, United-States, <=50K
18, ?, 12th, Never-married, ?, Own-child, White, Male,25, United-States, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, White, Male,40, United-States, <=50K
23, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,40, United-States, <=50K
24, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,50, United-States, <=50K
23, Private, Bachelors, Never-married, Sales, Own-child, White, Female,20, United-States, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,14, United-States, <=50K
21, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,40, United-States, <=50K
24, Private, HS-grad, Never-married, Exec-managerial, Other-relative, White, Male,50, United-States, <=50K
24, Private, 9th, Never-married, Machine-op-inspct, Not-in-family, White, Male,40, United-States, <=50K
22, Private, HS-grad, Never-married, Sales, Own-child, White, Female,40, United-States, <=50K
